HexIndex,HexName,Palace,LineNum(1=bottom),Stem,Branch,Element,SixRel(日干=木)
57,巽,巽,4,辛,未,土,妻財
57,巽,巽,5,辛,巳,火,子孫
57,巽,巽,6,辛,卯,木,兄弟
58,兌,兌,1,丁,巳,火,子孫
58,兌,兌,2,丁,卯,木,兄弟
58,兌,兌,3,丁,丑,土,妻財
58,兌,兌,4,丁,亥,水,父母
58,兌,兌,5,丁,酉,金,官鬼
58,兌,兌,6,丁,未,土,妻財
59,渙,離,1,戊,寅,木,兄弟
59,渙,離,2,戊,辰,土,妻財
59,渙,離,3,戊,午,火,子孫
59,渙,離,4,辛,未,土,妻財
59,渙,離,5,辛,巳,火,子孫
59,渙,離,6,辛,卯,木,兄弟
60,節,坎,1,丁,巳,火,子孫
60,節,坎,2,丁,卯,木,兄弟
60,節,坎,3,丁,丑,土,妻財
60,節,坎,4,戊,申,金,官鬼
60,節,坎,5,戊,戌,土,妻財
60,節,坎,6,戊,子,水,父母
61,中孚,艮,1,丁,巳,火,子孫
61,中孚,艮,2,丁,卯,木,兄弟
61,中孚,艮,3,丁,丑,土,妻財
61,中孚,艮,4,辛,未,土,妻財
61,中孚,艮,5,辛,巳,火,子孫
61,中孚,艮,6,辛,卯,木,兄弟
62,小過,兌,1,丙,辰,土,妻財
62,小過,兌,2,丙,午,火,子孫
62,小過,兌,3,丙,申,金,官鬼
62,小過,兌,4,庚,午,火,子孫
62,小過,兌,5,庚,申,金,官鬼
62,小過,兌,6,庚,戌,土,妻財
63,既濟,坎,1,己,卯,木,兄弟
63,既濟,坎,2,己,丑,土,妻財
63,既濟,坎,3,己,亥,水,父母
63,既濟,坎,4,戊,申,金,官鬼
63,既濟,坎,5,戊,戌,土,妻財
63,既濟,坎,6,戊,子,水,父母
64,未濟,離,1,戊,寅,木,兄弟
64,未濟,離,2,戊,辰,土,妻財
64,未濟,離,3,戊,午,火,子孫
64,未濟,離,4,己,酉,金,官鬼
64,未濟,離,5,己,未,土,妻財
64,未濟,離,6,己,巳,火,子孫
